"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"TCF7",0,1.06960674818528,0.8,0.365,0,"0","TCF7"
"NOSIP",0,0.995944697756977,0.787,0.432,0,"0","NOSIP"
"CCR7",0,0.994014074713359,0.519,0.143,0,"0","CCR7"
"MAL",0,0.978582029086632,0.558,0.172,0,"0","MAL"
"LDHB",0,0.970408081381222,0.936,0.64,0,"0","LDHB"
"FHIT",0,0.944252545978525,0.404,0.077,0,"0","FHIT"
"LEF1",0,0.927695359776878,0.508,0.154,0,"0","LEF1"
"TRABD2A",0,0.919393381741896,0.48,0.137,0,"0","TRABD2A"
"TSHZ2",0,0.840324183119967,0.325,0.051,0,"0","TSHZ2"
"RPS3A",0,0.833623751525246,0.997,0.99,0,"0","RPS3A"
"PIK3IP1",0,0.832569425804483,0.715,0.39,0,"0","PIK3IP1"
"RPL32",0,0.825865616223042,0.997,0.99,0,"0","RPL32"
"RPS12",0,0.822842621089219,0.997,0.992,0,"0","RPS12"
"RCAN3",0,0.818575937189332,0.634,0.301,0,"0","RCAN3"
"EEF1B2",0,0.813451636727367,0.992,0.963,0,"0","EEF1B2"
"RPS6",0,0.808858960527894,0.996,0.986,0,"0","RPS6"
"RPL30",0,0.792165406186278,0.997,0.991,0,"0","RPL30"
"BCL11B",0,0.790702175280782,0.587,0.267,0,"0","BCL11B"
"RPL9",0,0.786322651081041,0.995,0.988,0,"0","RPL9"
"RPS25",0,0.76043038648271,0.995,0.985,0,"0","RPS25"
"RPS27",0,0.759325738627391,0.998,0.991,0,"0","RPS27"
"RPS13",0,0.753941819642029,0.994,0.987,0,"0","RPS13"
"RPL22",0,0.742018279243103,0.994,0.978,0,"0","RPL22"
"NPM1",0,0.74091545765371,0.975,0.877,0,"0","NPM1"
"RPS5",0,0.737171014429066,0.993,0.973,0,"0","RPS5"
"RPL35A",0,0.731171689719726,0.995,0.99,0,"0","RPL35A"
"RPS14",0,0.729990637590556,0.996,0.99,0,"0","RPS14"
"RPL5",0,0.72465512050662,0.995,0.982,0,"0","RPL5"
"RPL13",0,0.714390174135556,0.998,0.992,0,"0","RPL13"
"RPL11",0,0.714062322238176,0.997,0.99,0,"0","RPL11"
"CAMK4",0,0.712000933337446,0.44,0.173,0,"0","CAMK4"
"LEPROTL1",0,0.709006257141948,0.759,0.509,0,"0","LEPROTL1"
"OXNAD1",0,0.705007856019451,0.455,0.189,0,"0","OXNAD1"
"LTB",0,0.704200778445464,0.977,0.605,0,"0","LTB"
"SARAF",0,0.703287828511943,0.966,0.857,0,"0","SARAF"
"RPS29",0,0.700672924415884,0.995,0.972,0,"0","RPS29"
"RPL38",0,0.697686400830551,0.992,0.957,0,"0","RPL38"
"RPS15A",0,0.695928308349087,0.996,0.991,0,"0","RPS15A"
"TOMM7",0,0.694556008932103,0.983,0.931,0,"0","TOMM7"
"IL6ST",0,0.69301565262109,0.398,0.176,0,"0","IL6ST"
"RPS27A",0,0.690732050764217,0.997,0.992,0,"0","RPS27A"
"RPS8",0,0.689577876646258,0.996,0.986,0,"0","RPS8"
"RPL21",0,0.689264268679108,0.996,0.989,0,"0","RPL21"
"RPL34",0,0.687488292558752,0.997,0.989,0,"0","RPL34"
"RPS16",0,0.685681284939194,0.995,0.984,0,"0","RPS16"
"CD3E",0,0.684421923276952,0.879,0.497,0,"0","CD3E"
"RPL36",0,0.683143443249523,0.996,0.979,0,"0","RPL36"
"RPS23",0,0.682890851792183,0.996,0.989,0,"0","RPS23"
"PRKCA",0,0.674370839176765,0.409,0.165,0,"0","PRKCA"
"TPT1",0,0.672475629779195,0.997,0.996,0,"0","TPT1"
"RPL19",0,0.666530665253451,0.996,0.989,0,"0","RPL19"
"RPS3",0,0.665669778631873,0.996,0.989,0,"0","RPS3"
"RPS4X",0,0.662839844036864,0.995,0.988,0,"0","RPS4X"
"EIF3E",0,0.662729097712842,0.93,0.792,0,"0","EIF3E"
"RPL37",0,0.662575510143618,0.996,0.987,0,"0","RPL37"
"NOP53",0,0.66220640442336,0.97,0.865,0,"0","NOP53"
"RPS21",0,0.661379252220514,0.994,0.973,0,"0","RPS21"
"C6orf48",0,0.659308223476342,0.66,0.45,0,"0","C6orf48"
"RPS20",0,0.659197458147871,0.993,0.962,0,"0","RPS20"
"RPL3",0,0.658765576524723,0.996,0.986,0,"0","RPL3"
"RPS18",0,0.654697080237558,0.998,0.989,0,"0","RPS18"
"RPL10A",0,0.64644264721006,0.994,0.978,0,"0","RPL10A"
"RPS28",0,0.64427890558474,0.996,0.987,0,"0","RPS28"
"C12orf57",0,0.640749670997301,0.845,0.626,0,"0","C12orf57"
"FOXP1",0,0.640746970503961,0.77,0.563,0,"0","FOXP1"
"IL7R",0,0.639059168710969,0.88,0.427,0,"0","IL7R"
"SATB1",0,0.637055440345301,0.455,0.24,0,"0","SATB1"
"CD27",0,0.629060377415446,0.539,0.25,0,"0","CD27"
"RPLP2",0,0.626164030795584,0.996,0.988,0,"0","RPLP2"
"RPL39",0,0.616050457936143,0.994,0.988,0,"0","RPL39"
"RPSA",0,0.615005021300735,0.996,0.975,0,"0","RPSA"
"RPL24",0,0.614041754839736,0.994,0.982,0,"0","RPL24"
"RPL18",0,0.611954727552479,0.995,0.987,0,"0","RPL18"
"RPL31",0,0.60923864559867,0.979,0.915,0,"0","RPL31"
"RPS10",0,0.604903818930758,0.956,0.885,0,"0","RPS10"
"RPL14",0,0.602378812517344,0.996,0.985,0,"0","RPL14"
"GIMAP7",0,0.598073458769049,0.656,0.424,0,"0","GIMAP7"
"LINC00861",0,0.595853489143163,0.449,0.215,0,"0","LINC00861"
"RPL7",0,0.585246659461161,0.993,0.978,0,"0","RPL7"
"CD3G",0,0.583845902232772,0.789,0.437,0,"0","CD3G"
"SNHG8",0,0.574228708952778,0.712,0.535,0,"0","SNHG8"
"TRBC1",0,0.572681735597227,0.554,0.358,0,"0","TRBC1"
"RPL10",0,0.572490726010324,0.997,0.993,0,"0","RPL10"
"TRBC2",0,0.565688880770164,0.723,0.485,0,"0","TRBC2"
"SH3YL1",0,0.558955161263281,0.344,0.154,0,"0","SH3YL1"
"SERINC5",0,0.551221385103496,0.38,0.202,0,"0","SERINC5"
"RPL29",0,0.549966640273965,0.995,0.988,0,"0","RPL29"
"CD3D",0,0.545231598237881,0.901,0.499,0,"0","CD3D"
"TRAC",0,0.543230209837232,0.832,0.471,0,"0","TRAC"
"RPL4",0,0.539312804761775,0.992,0.965,0,"0","RPL4"
"TRAT1",0,0.532050873589841,0.332,0.135,0,"0","TRAT1"
"EEF1A1",0,0.531923995550497,0.998,0.992,0,"0","EEF1A1"
"RPL27",0,0.529302305055683,0.993,0.978,0,"0","RPL27"
"BCL2",0,0.526568517790427,0.426,0.251,0,"0","BCL2"
"RPS15",0,0.524571806515604,0.996,0.989,0,"0","RPS15"
"IKZF1",0,0.513492213050331,0.727,0.581,0,"0","IKZF1"
"AP3M2",0,0.512264155211196,0.332,0.157,0,"0","AP3M2"
"RPL12",0,0.510927624046959,0.994,0.983,0,"0","RPL12"
"RPL37A",0,0.509672395809177,0.995,0.982,0,"0","RPL37A"
"ABLIM1",0,0.498387490602154,0.329,0.148,0,"0","ABLIM1"
"RPL23",0,0.495436839453243,0.982,0.93,0,"0","RPL23"
"RPL23A",0,0.494977665648137,0.995,0.985,0,"0","RPL23A"
"MAML2",0,0.49180420759396,0.316,0.16,0,"0","MAML2"
"GIMAP1",0,0.485802328178291,0.49,0.338,0,"0","GIMAP1"
"ETS1",0,0.484274496091492,0.66,0.44,0,"0","ETS1"
"RPS9",0,0.480059265694483,0.995,0.986,0,"0","RPS9"
"RPL13A",0,0.480042739812336,0.997,0.986,0,"0","RPL13A"
"RPL18A",0,0.47517441064173,0.997,0.988,0,"0","RPL18A"
"MGAT4A",0,0.471639295614604,0.539,0.352,0,"0","MGAT4A"
"RPS2",0,0.468849211124117,0.997,0.989,0,"0","RPS2"
"FAM102A",0,0.467806142317014,0.314,0.151,0,"0","FAM102A"
"MLLT3",0,0.466124554777405,0.266,0.108,0,"0","MLLT3"
"RPL27A",0,0.465801605362199,0.993,0.969,0,"0","RPL27A"
"PDE3B",0,0.462890574282564,0.383,0.212,0,"0","PDE3B"
"NACA",0,0.458186121666215,0.993,0.985,0,"0","NACA"
"STAT3",0,0.456192369675794,0.618,0.491,0,"0","STAT3"
"RPS26",0,0.452722877687045,0.865,0.884,0,"0","RPS26"
"GYPC",0,0.452161895296617,0.646,0.476,0,"0","GYPC"
"ST13",0,0.446143670743609,0.62,0.495,0,"0","ST13"
"NDFIP1",0,0.445745951406689,0.557,0.433,0,"0","NDFIP1"
"NSA2",0,0.445630021843919,0.724,0.613,0,"0","NSA2"
"DGKA",0,0.445145535203486,0.304,0.161,0,"0","DGKA"
"NUCB2",0,0.445127409622228,0.446,0.277,0,"0","NUCB2"
"INPP4B",0,0.443150422954681,0.313,0.15,0,"0","INPP4B"
"AAK1",0,0.44221656243323,0.562,0.406,0,"0","AAK1"
"RPLP1",0,0.43953387284289,0.997,0.994,0,"0","RPLP1"
"TESPA1",0,0.434984850311043,0.27,0.12,0,"0","TESPA1"
"LDLRAP1",0,0.434572168973328,0.301,0.146,0,"0","LDLRAP1"
"ATM",0,0.432330413378589,0.686,0.541,0,"0","ATM"
"PSIP1",0,0.432009554236704,0.542,0.389,0,"0","PSIP1"
"RPL41",0,0.42849524006937,0.997,0.994,0,"0","RPL41"
"GCC2",0,0.427534274332712,0.56,0.425,0,"0","GCC2"
"RPL7A",0,0.427437712671865,0.995,0.988,0,"0","RPL7A"
"RPL28",0,0.427311389381619,0.997,0.99,0,"0","RPL28"
"EPB41L4A-AS1",0,0.422895459636042,0.483,0.348,0,"0","EPB41L4A-AS1"
"RACK1",0,0.419729451591794,0.994,0.978,0,"0","RACK1"
"RPL35",0,0.41889272946978,0.995,0.977,0,"0","RPL35"
"FYB1",0,0.416207421479774,0.867,0.707,0,"0","FYB1"
"UQCRB",0,0.411568534627173,0.956,0.899,0,"0","UQCRB"
"SELL",0,0.410943167725773,0.627,0.449,0,"0","SELL"
"TXK",0,0.409657522610679,0.341,0.159,0,"0","TXK"
"PRMT2",0,0.407857825996352,0.547,0.41,0,"0","PRMT2"
"RPL6",0,0.406000832440616,0.995,0.987,0,"0","RPL6"
"OCIAD2",0,0.39957203971626,0.468,0.3,0,"0","OCIAD2"
"FLT3LG",0,0.399268741634533,0.299,0.16,0,"0","FLT3LG"
"RPS7",0,0.398421483780571,0.995,0.988,0,"0","RPS7"
"RPL36A",0,0.394710963175519,0.776,0.685,0,"0","RPL36A"
"RPL17",0,0.392230101185207,0.84,0.751,0,"0","RPL17"
"RPS19",0,0.388186141214252,0.997,0.988,0,"0","RPS19"
"PDE7A",0,0.384577969561971,0.33,0.207,0,"0","PDE7A"
"TMEM123",0,0.381834866895045,0.641,0.522,0,"0","TMEM123"
"EEF1D",0,0.381754304103429,0.99,0.97,0,"0","EEF1D"
"SF1",0,0.378693060980949,0.894,0.812,0,"0","SF1"
"RGS10",0,0.374959600705723,0.673,0.478,0,"0","RGS10"
"MALAT1",0,0.373844959979989,1,0.993,0,"0","MALAT1"
"RIC3",0,0.372260937013932,0.257,0.128,0,"0","RIC3"
"MCUB",0,0.371542085770135,0.515,0.407,0,"0","MCUB"
"EIF4B",0,0.369841299077961,0.767,0.672,0,"0","EIF4B"
"RPLP0",0,0.367993478495654,0.99,0.951,0,"0","RPLP0"
"CD6",0,0.36405449064049,0.358,0.204,0,"0","CD6"
"UBA52",0,0.35883530132247,0.994,0.989,0,"0","UBA52"
"RPL26",0,0.358391482134326,0.994,0.986,0,"0","RPL26"
"UXT",0,0.356340060583039,0.721,0.632,0,"0","UXT"
"SEPT6",0,0.356325322902773,0.615,0.49,0,"0","SEPT6"
"ITK",0,0.354106497073981,0.287,0.159,0,"0","ITK"
"EIF3H",0,0.352854189611144,0.831,0.742,0,"0","EIF3H"
"ANP32B",0,0.352584333420156,0.775,0.685,0,"0","ANP32B"
"MZT2B",0,0.351749813946782,0.783,0.683,0,"0","MZT2B"
"HIST1H4C",0,0.350999839705264,0.45,0.342,0,"0","HIST1H4C"
"RPL8",0,0.348148363761506,0.995,0.986,0,"0","RPL8"
"MT-ND6",0,0.346681369191671,0.497,0.383,0,"0","MT-ND6"
"CYLD",0,0.345078468713403,0.541,0.452,0,"0","CYLD"
"RPL15",0,0.338820920332566,0.994,0.99,0,"0","RPL15"
"ALKBH7",0,0.337509820741303,0.488,0.406,0,"0","ALKBH7"
"SELENOM",0,0.333597682194271,0.291,0.164,0,"0","SELENOM"
"RSL1D1",0,0.332187629922764,0.575,0.492,0,"0","RSL1D1"
"FAU",0,0.330762283520523,0.994,0.99,0,"0","FAU"
"COX7C",0,0.32988231084269,0.943,0.893,0,"0","COX7C"
"CHD3",0,0.326949027186231,0.322,0.229,0,"0","CHD3"
"CLEC2D",0,0.324641383477156,0.559,0.412,0,"0","CLEC2D"
"SVIP",0,0.32416401254631,0.37,0.239,0,"0","SVIP"
"SNHG7",0,0.324058916802811,0.502,0.392,0,"0","SNHG7"
"SOD1",0,0.319426359073237,0.728,0.623,0,"0","SOD1"
"HIST1H1D",0,0.314989207623494,0.285,0.188,0,"0","HIST1H1D"
"TNFAIP8",0,0.312664650967543,0.522,0.418,0,"0","TNFAIP8"
"MPHOSPH8",0,0.311392862750983,0.585,0.49,0,"0","MPHOSPH8"
"TOMM20",0,0.310398438663706,0.745,0.672,0,"0","TOMM20"
"SOCS3",0,0.310219455877284,0.421,0.342,0,"0","SOCS3"
"HSPB1",0,0.310113311380093,0.292,0.19,0,"0","HSPB1"
"AES",0,0.308830310798941,0.924,0.811,0,"0","AES"
"MZT2A",0,0.307458701626792,0.464,0.356,0,"0","MZT2A"
"HINT1",0,0.307427445800753,0.939,0.883,0,"0","HINT1"
"AC025164.1",0,0.3070557594812,0.272,0.18,0,"0","AC025164.1"
"GABPB1-AS1",0,0.304645297817224,0.429,0.347,0,"0","GABPB1-AS1"
"LCK",0,0.303687931861494,0.622,0.422,0,"0","LCK"
"TMEM243",0,0.301629390392375,0.464,0.368,0,"0","TMEM243"
"PPA1",0,0.300215232917083,0.496,0.413,0,"0","PPA1"
"ACAP1",0,0.298079644989616,0.7,0.56,0,"0","ACAP1"
"RHOH",0,0.29741415032514,0.447,0.307,0,"0","RHOH"
"COMMD6",0,0.29556281895912,0.916,0.871,0,"0","COMMD6"
"CD7",0,0.293444018345698,0.668,0.399,0,"0","CD7"
"TRAF3IP3",0,0.28987592129543,0.638,0.552,0,"0","TRAF3IP3"
"ADD3",0,0.285638818939829,0.545,0.465,0,"0","ADD3"
"HNRNPA1",0,0.285210970226346,0.918,0.866,0,"0","HNRNPA1"
"EPB41",0,0.283329876456278,0.525,0.441,0,"0","EPB41"
"CD48",0,0.283140782965471,0.946,0.894,0,"0","CD48"
"ATP6V0E2",0,0.282408401301719,0.252,0.153,0,"0","ATP6V0E2"
"EIF2S3",0,0.280457699811167,0.558,0.496,0,"0","EIF2S3"
"TTC3",0,0.27828703987913,0.511,0.444,0,"0","TTC3"
"EVL",0,0.278008824232834,0.797,0.645,0,"0","EVL"
"RFLNB",0,0.276109486580408,0.283,0.21,0,"0","RFLNB"
"NCK2",0,0.274775262172648,0.406,0.28,0,"0","NCK2"
"LBH",0,0.274036952517583,0.439,0.306,0,"0","LBH"
"FCMR",0,0.272123799024457,0.338,0.216,0,"0","FCMR"
"SMDT1",0,0.265336044308031,0.639,0.594,0,"0","SMDT1"
"ZC3HAV1",0,0.264347605872514,0.477,0.406,0,"0","ZC3HAV1"
"PRDX2",0,0.26377236022095,0.522,0.423,0,"0","PRDX2"
"EEF2",0,0.262670173037766,0.955,0.901,0,"0","EEF2"
"PEBP1",0,0.26218875527788,0.602,0.508,0,"0","PEBP1"
"ACTN1",0,0.260930670517115,0.267,0.172,0,"0","ACTN1"
"FKBP5",0,0.259958471249726,0.272,0.215,0,"0","FKBP5"
